project_type,planned_duration,contract_value_lkr,project_size,labourers_count,material_availability,weather_condition,is_delayed,delay_days
Residential,363,52.16,Medium,73,High,Clear,0,0
Industrial,509,517.06,Large,151,Low,Rainy,1,164
Infrastructure,513,449.11,Large,153,High,Clear,1,95
Commercial,471,206.73,Large,132,High,Rainy,0,0
Residential,176,46.35,Small,11,High,Clear,0,0
Residential,280,43.94,Small,19,Medium,Clear,0,0
Residential,213,56.16,Medium,53,Medium,Rainy,0,0
Infrastructure,212,361.19,Large,178,Low,Clear,1,99
Commercial,71,52.54,Medium,50,High,Clear,1,22
Infrastructure,192,341.21,Large,111,Medium,Clear,1,54
Residential,363,38.45,Small,16,Medium,Monsoon,1,103
Industrial,352,485.07,Large,60,High,Clear,0,0
Infrastructure,522,457.4,Large,114,Low,Clear,1,131
Residential,359,68.25,Medium,41,Medium,Clear,1,139
Residential,287,82.05,Medium,59,Medium,Clear,0,0
Residential,330,43.9,Small,9,Low,Clear,0,0
Residential,102,18.15,Small,19,Medium,Clear,0,0
Commercial,491,326.48,Large,60,High,Clear,0,0
Commercial,402,297.93,Large,124,Medium,Monsoon,0,0
Residential,385,90.16,Medium,61,High,Clear,0,0
Commercial,361,154.9,Medium,73,High,Clear,0,0
Residential,423,99.37,Medium,61,High,Clear,0,0
Residential,438,69.79,Medium,40,Medium,Clear,0,0
Residential,486,118.43,Medium,34,Medium,Rainy,0,0
Commercial,80,62.16,Medium,36,High,Clear,0,0
Infrastructure,466,944.29,Large,81,Medium,Clear,1,120
Residential,166,45.25,Small,10,Low,Rainy,0,0
Commercial,395,118.92,Medium,54,High,Clear,1,108
Commercial,362,238.48,Large,168,High,Clear,0,0
Residential,176,46.8,Small,20,Medium,Clear,0,0
Commercial,183,58.61,Medium,27,High,Clear,0,0
Residential,458,125.64,Medium,66,Medium,Clear,0,0
Residential,340,51.46,Medium,36,High,Clear,1,95
Industrial,351,479.07,Large,76,Medium,Rainy,1,90
Industrial,262,403.6,Large,177,Medium,Monsoon,1,59
Infrastructure,110,211.92,Large,149,Medium,Clear,0,0
Residential,330,39.09,Small,17,Low,Clear,0,0
Residential,383,83.98,Medium,36,Low,Clear,1,68
Commercial,336,193.13,Medium,57,Medium,Clear,0,0
Commercial,200,150.03,Medium,36,Medium,Clear,1,26
Residential,529,95.67,Medium,67,High,Monsoon,1,231
Commercial,334,153.82,Medium,33,Medium,Rainy,0,0
Residential,349,87.24,Medium,64,High,Monsoon,0,0
Industrial,393,407.34,Large,65,Low,Monsoon,1,101
Residential,440,100.86,Medium,54,High,Clear,0,0
Commercial,511,318.47,Large,169,Medium,Clear,0,0
Residential,432,119.93,Medium,33,High,Clear,1,51
Commercial,111,66.53,Medium,66,Medium,Clear,1,42
Commercial,86,47.39,Small,12,Low,Monsoon,0,0
Residential,216,27.6,Small,19,High,Clear,0,0
Industrial,298,193.84,Medium,73,Low,Monsoon,1,66
Infrastructure,215,228.4,Large,86,High,Clear,1,68
Industrial,350,253.19,Large,72,Medium,Monsoon,1,91
Infrastructure,195,367.46,Large,172,Low,Monsoon,1,40
Commercial,203,136.11,Medium,50,High,Rainy,0,0
Industrial,165,196.18,Medium,72,Low,Rainy,1,50
Residential,479,127.32,Medium,54,High,Clear,0,0
Residential,217,64.72,Medium,25,High,Monsoon,1,27
Residential,205,54.12,Medium,24,Low,Monsoon,1,117
Residential,61,14.58,Small,21,High,Rainy,0,0
Residential,492,101.6,Medium,42,Low,Rainy,1,172
Residential,136,25.81,Small,6,Low,Rainy,1,25
Infrastructure,191,180.2,Medium,45,High,Monsoon,1,41
Residential,149,26.8,Small,19,Medium,Clear,1,38
Residential,404,113.94,Medium,24,High,Rainy,1,67
Commercial,409,287.94,Large,149,High,Clear,0,0
Residential,518,74.18,Medium,39,High,Clear,0,0
Infrastructure,322,513.02,Large,65,High,Clear,1,62
Residential,410,107.97,Medium,25,High,Clear,0,0
Industrial,167,98.13,Medium,69,High,Clear,0,0
Infrastructure,133,193.99,Medium,37,Low,Clear,1,47
Residential,98,26.5,Small,8,Low,Clear,1,47
Residential,456,82.44,Medium,36,Medium,Clear,1,109
Infrastructure,218,203.16,Large,73,Medium,Clear,1,76
Infrastructure,130,223.9,Large,137,Low,Rainy,1,66
Infrastructure,506,1146.07,Large,72,High,Monsoon,0,0
Infrastructure,371,669.09,Large,66,Medium,Rainy,1,65
Residential,300,43.58,Small,16,Low,Monsoon,0,0
